"STATIONID","tot_var","tot_mean","lat","long"
"A-02",0.142670767285215,0.68925302051699,634629.32457229,-822532.219516722
"A-03",0.126143674197875,0.6794869779514,627907.169335818,-784821.174189221
"A-04",0.119666212766613,0.694657057777803,620300.129442009,-748135.310139532
"A-05",0.19714062374729,0.784751817976462,613348.847143423,-710470.628748426
"A-06",0.264824900691522,0.577488781513396,611214.542340665,-673968.807207345
"B-01",0.146953025359536,0.9110009058,679431.171979818,-853308.076444695
"B-02",0.0880386383947307,0.472850891841953,671021.897493553,-817559.288100341
"B-03",0.11798727442521,0.853597056127043,664508.623417138,-778859.711925608
"B-04",0.0703867213586845,0.620140923021641,657336.035795652,-743524.82647624
"B-05",0.141010331612366,0.568662761391728,650143.521640297,-705289.749608756
"B-06",0.226712087523602,0.790509686907735,645246.256247704,-667260.215929937
"B-07",0.261666795180051,0.810052650893033,639569.468125298,-632646.090410906
"B-08",0.200145753946636,0.80316708756451,634898.586800806,-595066.152857737
"C-01",0.160142291289192,0.736996821346211,715104.628699614,-848313.339140324
"C-02",0.082416428611511,0.596842108396638,707980.985496113,-811128.545077784
"C-03",0.132818633409135,0.775666993000473,701256.606671199,-774278.508133541
"C-04",0.109157768637325,0.682077910724223,694214.535991725,-738072.479541584
"C-05",0.222337921608226,0.685281456799433,686928.91942506,-699624.287388376
"C-06",0.161069609720723,0.631233699748076,680866.190841102,-663261.722660013
"C-07",0.177969817590021,0.76562300492215,677524.074394793,-626358.680463041
"C-08",0.178333660298319,0.933940414681227,670540.146821754,-589038.218443123
"C-09",0.221725106826874,0.647738061987175,666069.890691149,-553101.795428803
"C-18",0.16159351807552,0.717727987848199,723827.277794878,-885101.277731374
"D-01",0.116337677505824,0.768355802230988,752726.294839165,-842529.783273334
"D-02",0.147431797392898,0.656789861611533,745411.867678527,-805175.140268058
"D-03",0.184711356271694,0.729864084140831,737679.972320596,-768264.31648655
"D-04",0.216689621506964,0.599233273245502,730773.085644362,-730721.587779307
"D-05",0.191939532432018,0.705089706794684,723813.593920417,-693404.923743766
"D-06",0.210599414631786,0.653012455733281,718042.134006987,-657028.047467437
"D-07",0.242009267017698,0.919750874058798,712533.191098679,-621324.01735783
"D-08",0.164479427795423,0.846009146140718,707227.241758678,-583439.046629876
"D-09",0.258512920410137,1.06747576718131,701891.506426072,-547735.406189498
"D-10",0.250265512835893,0.850582255551943,698021.032573203,-512453.980551665
"D-18",0.117078195802578,0.505907289500057,759972.390610207,-879561.224142956
"E-01",0.093249324557244,0.589623958695267,789254.759842949,-836975.246594542
"E-02",0.123638222195278,0.744407039140158,781222.916428737,-799945.014406124
"E-03",0.194980131304562,0.758643750728607,774359.632852284,-762163.562378523
"E-04",0.137041050760007,0.623919954283946,767108.178895775,-725218.348926607
"E-05",0.203164297591635,0.55779601690416,761384.226830661,-688063.452427905
"E-06",0.214681665573111,0.571527637608193,754916.1385632,-650812.374867168
"E-07",0.195331308906827,0.75909890095457,749687.234067963,-614969.981867796
"E-08",0.200270099247246,0.688555166957048,743263.031034451,-579079.149648246
"E-09",0.214405855707464,0.914901175530095,738780.331272121,-541598.221038324
"E-10",0.273300606583721,0.97155970404559,734558.926888254,-504724.789883877
"E-11",0.210794330938162,0.815671733913983,729304.967415891,-469112.121509933
"E-12",0.177793410145363,0.743282192758865,725612.706887628,-430591.249507598
"E-18",0.158964927025327,0.519942256074066,796587.673964131,-872713.346959143
"E-19",0.129656307529244,0.577205806040726,805306.181500424,-910464.092291173
"E-20",0.112059938203334,0.362995870983487,817354.216579001,-945127.861753335
"E-21",0.14806519471854,0.606936907187371,822711.850605785,-982126.854066763
"E-22",0.155751725197145,0.715203700212714,831735.052359939,-1018786.48514851
"F-01",0.131406302111751,0.45443181431501,825915.430738482,-830568.663964685
"F-02",0.126850075463271,0.408411260212769,818253.815113637,-794456.151767828
"F-03",0.165055305921636,0.422823642524468,810926.279181069,-756541.660004368
"F-04",0.292829129825584,0.565332292651082,803693.273858731,-721203.453782398
"F-05",0.24857297840609,0.748136804633434,798118.696539579,-682920.487542271
"F-06",0.223462799687932,0.768144455075291,792170.90079232,-645665.447648307
"F-07",0.172560203056451,0.702499181756731,785655.768386491,-609632.291394431
"F-08",0.187566207331614,0.781231001814476,780142.539766407,-572436.202158999
"F-09",0.177667066101562,0.726514279190371,775480.727976114,-535932.868909741
"F-10",0.243893418930847,0.823676009292198,771278.128669009,-499404.516793548
"F-11",0.165187184605939,0.554337783534507,766159.714935202,-463067.090442311
"F-12",0.202942424033146,0.848615117881479,762363.413034849,-426280.467566402
"F-13",0.151505489790665,0.536980870445196,758754.830513959,-388947.740767528
"F-14",0.170588783517889,0.545754310060235,756333.307414948,-350721.985253903
"F-18",0.174115085676895,0.474041647178267,833152.536134094,-867988.413805714
"F-19",0.140402964382152,0.370834710351134,841998.076165468,-904494.048660037
"F-20",0.154834939841987,0.49087847415565,850652.392388863,-940200.586391871
"F-21",0.0989600309257056,0.389423404771755,858961.267589796,-977072.548148789
"F-22",0.16075603635992,0.573250419514043,868130.403353522,-1013032.58912714
"F-23",0.116629296321127,0.450454298611465,877970.355171538,-1049727.47873924
"F-24",0.160985906682276,0.558791869288922,887856.770393249,-1085368.63971127
"F-25",0.138896803493832,0.54234092717753,898093.400050209,-1121216.09267288
"G-01",0.223514244614824,0.593861028312547,862576.308229027,-824858.610535353
