"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1996,1,"All_areas",503305.961312571,0.208925700953859,105153.550761485
1997,1,"All_areas",7189797.09715453,0.832315652419691,5984180.66168338
1998,1,"All_areas",7189797.09715453,0.832315652419691,5984180.66168338
1999,1,"All_areas",288150.430101013,0.21455099176997,61822.960557116
2000,1,"All_areas",7189797.09715453,0.832315652419691,5984180.66168338
2001,1,"All_areas",7189797.09715453,0.832315652419691,5984180.66168338
2002,1,"All_areas",7189797.09715453,0.832315652419691,5984180.66168338
2003,1,"All_areas",415712.676958956,0.176620968385475,73423.5755746088
2004,1,"All_areas",7189797.09715453,0.832315652419691,5984180.66168338
2005,1,"All_areas",606726.305005517,0.160687828247094,97493.5322917205
2006,1,"All_areas",7189797.09715453,0.832315652419691,5984180.66168338
2007,1,"All_areas",497906.009993086,0.159851848963437,79591.1963074021
2008,1,"All_areas",7189797.09715453,0.832315652419691,5984180.66168338
2009,1,"All_areas",671296.007106847,0.20805877930512,139669.027791051
2010,1,"All_areas",7189797.09715453,0.832315652419691,5984180.66168338
2011,1,"All_areas",599352.564668263,0.164337555305172,98496.135243468
2012,1,"All_areas",7189797.09715453,0.832315652419691,5984180.66168338
2013,1,"All_areas",1353871.33400125,0.228373037085864,309187.708369356
2014,1,"All_areas",7189797.09715453,0.832315652419691,5984180.66168338
2015,1,"All_areas",1421768.19872095,0.205899854122631,292741.86471284
2016,1,"All_areas",7189797.09715453,0.832315652419691,5984180.66168338
2017,1,"All_areas",1549648.74467659,0.210514275180291,326223.182269641
2018,1,"All_areas",7189797.09715453,0.832315652419691,5984180.66168338
2019,1,"All_areas",1436864.1341708,0.180911634003642,259945.438354067
