DOM1	AGGR_STRATUM	X1	X2	X3	X4	X5	X6
2	17	3	2	2	2	1	1
2	17	3	2	3	1	1	1
2	17	3	3	1	2	1	1
2	17	5	1	3	1	1	1
2	17	5	3	3	2	2	1
2	17	6	1	2	1	1	1
2	17	8	2	2	1	1	1
2	17	9	3	3	3	2	2
2	18	4	1	1	1	1	1
2	18	4	1	1	1	1	2
2	18	4	1	2	1	1	1
2	18	4	2	1	2	1	1
2	18	4	2	2	1	1	1
2	18	5	2	1	1	1	1
2	18	8	1	3	1	2	2
2	18	9	1	1	1	2	1
2	19	4	2	2	2	1	1
2	19	4	3	3	2	1	1
2	19	7	2	2	3	2	1
2	19	8	1	1	1	2	2
2	19	8	2	3	1	2	1
2	20	4	2	3	1	1	1
2	20	4	3	2	3	1	1
2	20	5	1	2	1	1	2
2	20	5	3	2	3	1	1
2	20	6	3	3	3	2	1
2	20	7	1	1	1	1	2
2	20	8	1	1	1	1	2
2	21	5	1	2	1	1	1
2	21	6	2	3	2	1	1
2	22	5	2	2	1	1	2
2	22	7	2	2	1	2	1
2	22	8	1	2	1	1	1
2	23	5	2	3	1	1	1
2	23	5	3	2	3	2	1
2	23	6	1	1	1	1	1
2	23	6	2	2	1	1	1
2	23	7	3	2	3	2	1
2	23	8	2	1	1	1	1
2	23	8	3	3	2	2	2
2	24	6	2	2	2	2	1
2	24	6	3	2	3	2	1
2	24	7	2	2	1	1	1
2	24	8	1	1	1	1	1
2	24	8	2	2	2	2	2
2	25	7	1	1	1	2	2
2	25	8	2	2	1	2	1
3	1	1	1	1	1	1	1
3	1	3	1	1	1	1	1
3	1	4	1	1	1	1	2
3	1	5	1	2	1	1	1
3	1	6	1	3	1	1	2
3	1	10	1	2	1	2	2
3	2	10	1	1	1	1	1
3	3	10	1	1	1	2	1
3	4	7	1	1	1	1	1
3	4	7	1	2	1	1	2
3	4	8	1	1	1	1	1
3	4	9	1	1	1	2	2
3	4	10	1	1	1	2	2
3	4	10	1	2	1	2	1
3	4	10	2	2	1	2	2
3	4	12	2	1	1	2	2
3	5	8	2	1	1	1	2
3	5	9	1	1	1	1	2
3	5	11	1	1	1	1	2
3	5	13	1	1	1	2	1
3	5	13	1	1	1	2	2
3	5	13	2	1	1	2	2
3	5	13	2	1	1	2	3
3	6	9	1	1	1	1	1
3	6	11	1	1	1	2	1
3	6	17	1	1	1	3	3
3	7	11	1	1	1	2	2
3	7	12	1	1	1	2	3
3	8	2	2	2	1	1	1
3	8	5	1	1	1	1	2
3	8	6	2	2	1	1	1
3	8	11	1	2	1	2	2
3	8	11	2	2	1	2	2
3	8	12	1	1	1	2	1
3	8	12	1	2	1	2	2
3	9	2	1	1	1	1	1
3	9	7	1	2	1	1	1
3	10	2	1	2	1	1	1
3	10	3	1	2	1	1	1
3	10	7	1	1	1	1	2
3	11	3	1	1	1	1	2
3	11	3	2	1	1	1	1
3	11	4	1	1	1	1	1
3	11	4	2	1	1	1	1
3	12	3	2	2	1	1	1
3	12	4	1	2	1	1	1
3	12	5	2	1	1	1	1
3	12	5	2	2	1	1	1
3	12	8	1	1	1	2	1
3	12	8	1	1	1	2	2
3	12	9	2	2	1	2	1
3	13	5	1	1	1	1	1
3	13	6	1	1	1	1	1
3	13	6	1	1	1	1	2
3	13	8	1	2	1	1	2
3	14	6	1	2	1	1	1
3	15	8	1	1	1	1	2
3	15	8	2	2	1	2	1
3	16	8	1	2	1	1	1
3	17	8	1	2	1	2	1
3	18	9	1	2	1	2	2
4	1	1	1	1	1	1	1
4	1	2	1	1	1	1	1
4	1	2	1	2	1	1	1
4	1	3	1	1	1	1	1
4	1	6	1	2	1	1	1
4	1	6	1	2	1	1	2
4	1	7	1	1	1	1	1
4	1	8	1	2	1	1	2
4	1	9	1	1	1	1	2
4	1	9	1	1	1	2	1
4	1	10	2	3	1	2	2
4	1	11	1	2	1	2	1
4	1	12	2	2	1	2	2
4	1	13	1	2	1	2	2
4	2	4	1	2	1	1	1
4	2	6	1	1	1	1	2
4	2	7	2	3	1	1	1
4	2	8	1	1	1	1	1
4	2	9	1	1	1	1	1
4	2	9	1	2	1	2	1
4	2	10	1	1	1	2	1
4	2	11	1	1	1	2	1
4	2	11	1	1	1	2	2
4	2	12	1	2	1	2	3
4	3	7	1	2	1	1	1
4	3	7	2	2	1	1	2
4	3	8	1	1	1	1	2
4	3	8	1	2	1	2	1
4	3	10	1	2	1	1	2
4	3	10	1	2	1	2	1
4	3	10	1	2	1	2	2
4	3	10	1	3	1	2	1
4	4	5	1	1	1	1	2
4	4	7	1	1	1	1	2
4	4	7	1	2	1	1	2
4	4	11	1	2	1	2	2
4	4	11	2	3	1	2	2
4	4	12	1	1	1	2	1
4	4	12	1	1	1	2	2
4	4	12	1	2	1	2	1
4	4	12	2	3	1	2	2
4	4	13	1	1	1	2	1
4	4	13	2	2	1	2	2
4	4	14	1	1	1	2	2
4	4	14	1	2	1	2	2
4	5	12	1	2	1	2	2
4	5	14	2	3	1	2	2
4	5	16	3	3	1	3	3
4	5	18	3	2	1	3	3
4	6	3	1	2	1	1	1
4	6	6	2	2	1	1	1
4	7	4	1	1	1	1	1
4	7	5	1	1	1	1	1
4	7	5	1	2	1	1	1
4	7	6	1	1	1	1	1
4	7	7	2	2	1	1	1
4	7	8	1	1	1	2	1
4	7	8	1	2	1	1	1
4	7	8	1	2	1	2	2
4	8	5	3	2	1	1	1
5	1	1	1	1	1	1	1
5	1	1	1	2	3	1	1
5	1	5	1	3	1	1	1
5	1	5	2	3	2	1	1
5	1	6	3	2	3	1	1
5	1	7	1	1	1	1	2
5	2	1	1	1	2	1	1
5	2	2	2	2	1	1	1
5	2	2	3	1	3	1	1
5	2	3	2	1	1	1	1
5	2	4	2	2	3	1	1
5	2	4	3	1	1	1	1
5	2	4	3	2	2	1	1
5	2	5	1	1	1	1	1
5	2	5	2	2	1	1	1
5	2	6	1	1	1	1	2
5	2	6	2	2	1	1	2
5	2	6	2	2	2	2	1
5	2	7	3	2	3	2	1
5	3	1	1	1	3	1	1
5	4	1	2	1	1	1	1
5	4	1	2	1	2	1	1
5	4	2	2	1	1	1	1
5	4	4	2	1	3	1	1
5	4	5	2	2	2	1	1
5	4	6	1	2	1	1	2
5	4	6	3	2	2	1	1
5	4	7	2	2	2	1	2
5	4	8	1	2	1	2	1
5	4	8	2	2	2	2	1
5	4	11	1	2	1	2	2
5	5	1	2	1	3	1	1
5	5	1	3	1	1	1	1
5	5	1	3	2	3	1	1
5	5	2	1	2	1	1	1
5	5	2	1	2	2	1	1
5	5	2	3	1	2	1	1
5	5	8	3	3	2	2	1
5	6	1	2	2	1	1	1
5	6	2	2	1	2	1	1
5	6	2	3	2	2	1	1
5	6	3	1	1	1	1	1
5	6	4	1	3	1	1	1
5	6	4	2	2	2	1	1
5	6	6	1	1	1	1	1
5	6	6	2	2	2	1	2
5	6	6	2	3	2	1	1
5	6	7	2	1	2	1	2
5	6	8	1	2	1	1	2
5	6	8	3	3	3	2	2
5	6	9	1	1	1	2	1
5	6	10	1	1	1	1	1
5	6	10	1	1	1	2	2
5	6	10	1	2	1	2	2
5	7	9	1	1	1	2	2
5	7	10	1	2	1	1	2
5	7	10	1	2	1	2	1
5	7	10	3	3	3	2	2
5	7	11	3	3	3	2	2
5	7	12	1	2	1	2	2
5	7	13	2	2	1	2	2
5	7	13	2	3	1	2	2
5	7	14	2	3	1	2	3
5	8	5	2	1	1	1	1
5	8	5	3	1	1	1	1
5	8	5	3	3	2	1	1
5	8	7	1	2	1	1	2
5	8	8	2	3	1	2	2
5	8	10	1	3	1	2	2
5	8	11	1	1	1	2	2
5	8	12	1	1	1	2	2
5	9	3	1	3	1	1	1
5	9	7	1	3	1	1	1
5	9	8	2	2	2	1	1
5	9	8	3	2	2	1	1
5	9	9	2	2	1	1	2
5	9	10	2	3	1	2	2
5	9	11	1	3	1	2	2
5	9	13	1	3	1	2	2
5	10	3	2	3	1	1	1
5	10	7	2	1	1	1	2
5	10	11	2	3	1	2	2
5	10	13	1	1	1	2	2
5	11	4	2	1	2	1	1
5	11	6	1	3	1	1	1
5	11	8	1	1	2	2	1
5	11	15	2	2	1	2	3
5	11	16	2	3	1	3	3
5	12	2	1	1	1	1	1
5	12	3	2	1	2	1	1
5	12	3	2	1	3	1	1
5	12	3	2	2	1	1	1
5	12	4	1	1	1	1	1
5	12	5	3	2	2	1	1
5	12	6	2	3	1	1	1
5	13	2	3	1	1	1	1
5	13	2	3	2	3	1	1
5	13	4	2	1	1	1	1
5	13	4	2	3	1	1	1
5	13	5	3	2	3	1	1
5	13	7	2	2	2	1	1
5	14	3	1	2	1	1	1
5	14	3	3	2	2	1	1
5	14	7	2	3	2	1	1
5	15	3	2	2	2	1	1
5	15	3	3	1	1	1	1
5	16	3	2	2	3	1	1
5	16	3	3	2	3	1	1
5	16	4	2	2	1	1	1
5	17	4	1	2	1	1	1
5	17	5	1	2	1	1	1
5	17	6	2	1	2	1	1
5	18	4	3	1	3	1	1
5	18	5	2	3	1	1	1
5	18	6	2	1	1	1	1
5	18	7	1	2	1	1	1
5	18	8	3	2	2	1	2
5	18	9	1	2	1	2	2
5	19	4	3	2	3	1	1
5	19	5	2	1	2	1	1
5	19	6	1	2	1	1	1
5	19	6	2	1	2	1	2
5	19	6	2	2	1	1	1
5	19	8	1	1	1	1	2
5	19	9	2	3	2	2	2
5	20	5	2	1	2	1	2
5	21	6	3	3	1	1	1
5	22	7	1	1	1	1	1
5	23	7	1	3	1	1	2
5	24	7	1	3	1	2	1
5	24	8	1	3	1	2	1
5	25	7	2	2	1	1	1
5	26	8	1	2	1	2	2
5	26	9	1	2	1	2	1
6	1	1	1	1	1	1	1
6	1	2	2	1	1	1	1
6	1	2	2	2	1	1	1
6	1	3	2	2	1	1	1
6	1	4	1	2	1	1	1
6	1	4	2	1	1	1	1
6	1	4	2	1	2	1	1
6	1	4	2	3	2	1	1
6	1	5	1	1	1	1	2
6	1	5	1	2	1	1	2
6	1	5	2	2	1	1	1
6	1	7	1	2	1	1	1
6	1	7	3	2	3	1	1
6	1	8	1	2	1	1	1
6	1	8	1	3	1	1	1
6	1	8	2	1	1	1	1
6	1	8	2	3	1	1	1
6	1	8	3	2	2	1	2
6	1	9	1	3	1	2	1
6	1	10	1	2	1	2	2
6	2	1	1	1	2	1	1
6	2	6	1	2	1	1	2
6	2	16	1	1	1	2	2
6	3	1	1	1	3	1	1
6	3	1	2	1	1	1	1
6	3	5	1	1	1	1	1
6	3	5	1	2	1	1	1
6	3	9	1	1	1	1	1
6	3	9	1	2	1	1	2
6	3	9	1	3	1	1	2
6	3	10	1	1	1	1	2
6	3	11	1	1	1	2	1
6	3	13	1	2	1	2	2
6	4	1	2	1	2	1	1
6	4	3	2	2	2	1	1
6	4	4	2	3	1	1	1
6	4	6	2	3	1	1	2
6	4	7	2	1	1	1	2
6	4	7	3	3	2	1	1
6	4	8	3	3	3	2	1
6	4	9	1	1	1	2	1
6	4	10	1	1	1	2	2
6	4	10	1	2	1	1	2
6	4	10	2	2	1	1	2
6	4	10	2	2	1	2	1
6	4	11	2	3	1	2	2
6	4	11	3	3	2	2	2
6	4	12	1	2	1	2	1
6	4	12	1	2	1	2	2
6	4	12	1	3	1	2	2
6	4	13	2	3	1	2	2
6	5	9	2	2	1	2	1
6	5	12	3	3	2	2	2
6	5	14	1	2	1	2	3
6	5	14	2	2	1	2	2
6	6	2	1	1	1	1	1
6	6	2	1	2	1	1	1
6	6	2	2	2	2	1	1
6	6	2	3	1	2	1	1
6	6	2	3	3	1	1	1
6	6	3	1	1	1	1	1
6	6	3	1	2	1	1	1
6	6	3	2	1	2	1	1
6	6	3	2	1	3	1	1
6	6	3	3	3	2	1	1
6	6	4	1	1	1	1	1
6	6	4	1	1	3	1	1
6	6	4	1	3	1	1	1
6	6	4	3	2	1	1	1
6	6	4	3	3	3	2	1
6	6	5	2	1	1	1	1
6	6	5	2	3	1	1	1
6	6	5	3	2	2	1	1
6	6	5	3	2	3	1	1
6	6	6	1	1	1	1	1
6	6	6	1	2	1	1	1
6	6	6	1	3	1	1	1
6	6	6	3	3	2	1	1
6	6	7	1	2	1	1	2
6	6	7	2	2	1	1	1
6	6	7	2	3	1	2	2
6	6	7	3	2	2	1	1
6	6	7	3	2	2	2	1
6	6	8	2	2	1	1	1
6	6	8	2	3	1	2	1
6	6	9	2	3	1	2	1
6	6	9	2	3	1	2	2
6	7	2	2	1	2	1	1
6	7	4	2	2	1	1	1
6	7	5	1	3	1	1	1
6	7	6	3	3	2	2	1
6	7	7	1	1	1	1	2
6	7	7	2	2	2	1	1
6	7	8	1	1	1	1	2
6	8	5	2	2	2	1	1
6	8	6	2	2	1	1	1
6	8	6	2	2	2	1	1
6	8	7	1	2	1	2	1
6	8	7	2	3	1	1	1
6	8	8	2	2	1	1	2
7	1	1	1	1	1	1	1
7	1	4	3	1	1	1	1
7	2	1	1	1	2	1	1
7	2	3	3	1	2	1	1
7	2	9	1	1	1	2	1
7	3	1	2	1	1	1	1
7	3	3	1	1	1	1	1
7	3	3	1	1	1	1	2
7	3	3	2	1	1	1	1
7	4	1	2	1	2	1	1
7	4	5	1	1	1	1	1
7	4	6	1	1	1	1	2
7	4	9	1	1	1	1	1
7	5	1	3	1	1	1	1
7	5	4	2	1	1	1	1
7	6	10	1	1	1	1	1
7	6	10	1	1	1	2	2
7	7	12	2	2	1	2	2
7	7	13	2	1	1	2	2
7	8	14	2	1	1	2	1
7	9	2	1	1	1	1	1
7	9	2	2	1	1	1	1
7	10	2	2	1	2	1	1
7	10	2	3	1	2	1	1
7	10	5	2	1	1	1	1
7	10	7	1	1	1	1	1
7	10	9	2	1	1	2	2
7	11	3	2	1	1	1	2
7	11	3	3	1	1	1	1
7	11	4	3	1	3	1	1
7	11	8	1	1	1	2	1
7	12	4	1	1	1	1	1
7	12	5	1	1	1	1	2
7	12	6	1	1	1	1	1
7	12	7	1	1	1	1	2
7	13	4	1	1	1	1	2
7	13	9	3	1	1	2	2
7	14	7	2	1	1	1	2
7	15	8	1	1	1	1	1
7	15	9	1	1	1	2	2
