DOM1	AGGR_STRATUM	X1	X2	X3	X4	X5	X6
1	1	1	1	1	1	1	1
1	1	1	1	1	2	1	1
1	1	1	2	2	1	1	1
1	1	4	1	1	2	1	1
1	1	7	1	2	1	1	2
1	1	9	2	1	3	1	1
1	1	9	3	2	3	2	1
1	1	10	1	1	1	2	1
1	2	1	1	1	1	1	2
1	3	1	1	2	1	1	1
1	3	1	2	1	2	1	1
1	3	4	3	2	3	1	1
1	3	5	1	2	1	1	1
1	3	8	2	1	1	2	1
1	3	9	3	3	2	2	2
1	3	10	1	1	1	1	1
1	4	1	2	1	1	1	1
1	4	1	3	1	2	1	1
1	4	5	2	2	1	2	1
1	4	7	1	2	1	1	1
1	4	7	2	2	1	2	1
1	4	8	1	2	1	2	2
1	4	9	1	1	1	1	1
1	4	9	1	1	1	2	1
1	4	9	3	2	2	2	2
1	4	9	3	3	2	2	1
1	5	1	2	1	3	1	1
1	5	4	1	1	1	1	1
1	5	4	2	2	1	1	1
1	5	5	2	1	1	1	1
1	5	6	1	2	1	1	1
1	5	6	1	2	1	2	1
1	5	8	1	1	1	2	1
1	5	10	1	1	1	1	2
1	5	10	1	3	1	2	2
1	6	10	1	2	1	2	1
1	6	10	2	1	2	2	1
1	6	10	2	2	1	2	3
1	6	13	1	2	1	2	2
1	7	6	3	2	2	2	1
1	7	11	1	1	1	2	1
1	7	11	1	1	1	2	2
1	7	11	1	2	1	2	1
1	7	11	1	2	1	2	2
1	7	12	1	1	1	2	1
1	8	11	2	1	1	2	2
1	9	6	1	3	1	1	2
1	9	6	2	2	1	1	2
1	9	12	1	1	1	2	2
1	9	12	1	2	1	2	3
1	9	12	2	1	1	2	3
1	9	12	2	2	1	2	3
1	10	13	1	1	1	1	2
1	10	14	1	3	1	2	3
1	10	17	2	2	1	3	2
1	11	2	2	2	1	1	1
1	11	4	3	1	1	1	1
1	11	7	1	1	1	1	2
1	11	13	1	1	1	2	1
1	11	13	1	1	1	2	2
1	11	14	1	1	1	2	2
1	11	14	1	2	1	2	2
1	11	14	2	1	1	2	1
1	12	17	1	1	1	3	2
1	13	2	1	1	1	1	1
1	13	2	1	1	2	1	1
1	13	2	1	2	1	1	1
1	13	2	2	1	1	1	1
1	13	2	2	2	2	1	1
1	13	3	1	1	1	1	1
1	13	3	1	1	2	1	1
1	13	3	1	2	1	1	1
1	13	3	2	1	1	1	1
1	13	3	2	1	1	2	1
1	13	4	1	2	1	1	1
1	13	4	2	2	2	1	1
1	13	5	2	2	1	1	1
1	13	7	1	1	1	1	1
1	13	7	2	1	2	1	2
1	13	7	3	2	2	2	1
1	13	8	1	2	1	1	2
1	13	8	2	2	1	1	1
1	13	9	1	1	1	1	2
1	14	2	2	1	2	1	1
1	14	4	3	2	2	2	1
1	14	5	1	3	1	1	2
1	14	6	1	3	1	1	3
1	14	6	2	2	1	1	1
1	14	6	3	3	3	2	1
1	14	9	1	1	1	2	2
1	15	3	1	1	1	1	2
1	15	3	2	1	2	1	1
1	15	3	3	1	2	1	1
1	16	3	2	2	1	1	1
1	16	3	2	2	2	1	1
1	16	3	3	2	2	1	1
1	16	4	1	1	1	1	2
1	16	4	1	2	1	1	2
1	16	4	1	3	1	1	1
1	16	4	3	1	2	1	1
1	16	5	1	1	1	1	1
1	16	5	1	1	1	1	2
1	16	5	1	1	1	2	1
1	16	5	3	1	2	1	1
1	16	6	1	1	1	2	1
1	16	6	2	1	1	2	1
1	16	6	2	2	2	1	2
1	16	6	2	2	2	2	1
1	16	8	2	2	2	2	1
1	16	9	2	1	1	1	3
1	17	4	2	1	1	1	1
1	17	4	2	1	2	1	1
1	17	6	1	1	1	1	1
1	17	6	1	2	1	1	2
1	17	6	3	2	1	1	1
1	18	6	2	1	1	1	1
1	18	7	1	1	1	2	1
1	18	8	3	2	2	2	1
1	18	9	2	2	1	2	3
2	1	1	1	1	1	1	1
2	1	4	2	1	1	1	1
2	1	5	2	2	1	1	1
2	1	6	1	3	1	1	1
2	1	7	2	1	1	1	1
2	1	8	3	2	2	2	1
2	2	1	1	2	1	1	1
2	2	5	1	1	1	1	2
2	3	1	2	1	1	1	1
2	3	2	2	3	1	1	1
2	3	6	1	1	1	1	2
2	3	6	2	3	1	1	1
2	4	1	2	1	2	1	1
2	5	1	2	2	1	1	1
2	5	5	3	3	3	1	1
2	5	8	2	2	1	2	2
2	5	9	1	3	1	2	2
2	5	10	1	1	1	2	2
2	5	10	1	2	1	2	2
2	6	1	3	1	2	1	1
2	6	2	3	2	2	1	1
2	6	3	1	1	1	1	1
2	6	3	2	1	1	1	1
2	6	3	3	2	2	1	1
2	6	7	1	2	1	1	2
2	6	9	2	2	1	2	2
2	7	7	2	3	1	2	1
2	7	10	1	1	1	1	2
2	7	10	2	1	1	2	2
2	8	4	3	2	2	1	1
2	8	5	1	1	1	1	1
2	8	6	2	2	1	2	1
2	8	7	1	2	1	1	1
2	8	10	2	3	1	2	1
2	8	11	1	1	1	2	2
2	8	11	1	3	1	2	1
2	8	11	3	3	1	2	2
2	8	12	1	2	1	2	2
2	8	13	1	1	1	2	2
2	9	11	1	2	1	2	2
2	10	6	3	2	3	1	1
2	10	7	3	2	2	2	2
2	10	9	2	3	1	2	2
2	10	11	2	2	1	2	2
2	10	12	1	1	1	2	1
2	10	13	1	1	1	2	3
2	11	2	2	1	1	1	1
2	11	12	2	1	1	2	2
2	11	12	2	2	1	2	3
2	11	13	1	1	1	2	1
2	11	13	2	2	1	2	2
2	12	9	1	1	1	1	1
2	12	9	2	2	1	2	1
2	12	9	3	3	3	2	1
2	12	15	1	1	1	2	2
2	12	15	1	2	1	2	3
2	12	15	2	1	1	2	2
2	12	15	2	1	1	2	3
2	13	8	1	2	1	1	2
2	13	15	2	3	1	2	2
2	14	3	1	3	1	1	1
2	14	3	2	1	2	1	1
2	14	8	1	2	1	2	1
2	14	15	2	3	2	2	2
2	14	17	2	3	1	3	3
2	15	2	1	1	1	1	1
2	16	2	1	2	1	1	1
2	16	2	2	1	2	1	1
2	16	2	2	2	1	1	1
2	16	2	2	2	2	1	1
2	16	2	2	3	2	1	1
2	16	2	3	1	2	1	1
2	16	3	2	2	1	1	1
2	16	4	2	1	1	1	2
2	16	4	3	3	1	1	1
2	16	5	2	2	2	1	1
2	16	7	1	1	1	1	1
2	16	7	1	3	1	1	2
2	16	9	1	2	1	2	2
2	17	3	1	2	1	1	1
