"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1996,1,"All_areas",72957.6938658327,0.408152424290819,29777.8596220071
1997,1,"All_areas",1578674.84955186,0.63601109592614,1004054.72117451
1998,1,"All_areas",1578674.84955186,0.63601109592614,1004054.72117451
1999,1,"All_areas",76629.4057311905,0.286796028334197,21977.0092173152
2000,1,"All_areas",1578674.84955186,0.63601109592614,1004054.72117451
2001,1,"All_areas",1578674.84955186,0.63601109592614,1004054.72117451
2002,1,"All_areas",1578674.84955186,0.63601109592614,1004054.72117451
2003,1,"All_areas",46904.3573813953,0.432794122150851,20299.9301779307
2004,1,"All_areas",1578674.84955186,0.63601109592614,1004054.72117451
2005,1,"All_areas",156153.5823742,0.24943276198941,38949.8193461377
2006,1,"All_areas",1578674.84955186,0.63601109592614,1004054.72117451
2007,1,"All_areas",122273.806588555,0.266696870967121,32610.0416184067
2008,1,"All_areas",1578674.84955186,0.63601109592614,1004054.72117451
2009,1,"All_areas",54437.7745295559,0.547762518465899,29818.9724759883
2010,1,"All_areas",1578674.84955186,0.63601109592614,1004054.72117451
2011,1,"All_areas",89187.6398078714,0.404019041615335,36033.5047591098
2012,1,"All_areas",1578674.84955186,0.63601109592614,1004054.72117451
2013,1,"All_areas",178566.201688825,0.385617703280159,68858.2885787061
2014,1,"All_areas",1578674.84955186,0.63601109592614,1004054.72117451
2015,1,"All_areas",41178.5422080089,0.374935714266404,15439.3061352091
2016,1,"All_areas",1578674.84955186,0.63601109592614,1004054.72117451
2017,1,"All_areas",103757.791373046,0.53877819495328,55902.4355483089
2018,1,"All_areas",1578674.84955186,0.63601109592614,1004054.72117451
2019,1,"All_areas",66878.9233498327,0.39612459145637,26492.3861889942
